SYS	"CIRCUIT
NO."	"CABLE
TYPE"	CABLE DIA	FROM EQUIPMENT	FROM CODE	FM MARJIN	TO EQUIPMENT	TO CODE	TO MARJIN	TOTAL	ROUTE	NODE구분	포설일자	"결선
FROM"	"결선
TO"	검사	REV
L	L0101	DAE1	13.1	W/H GROUP PANEL(NLP)	ANP	5.0	FWD MASTHEAD LIGHT	FM	20.0	55.0	AU05,AU18,AU02,AU01,E247,E204,E203,E202,E201	ER <-> ACC	2026-01-24				
L	L0102	DAE1	13.1	W/H GROUP PANEL(NLP)	ANP	FM	FWD MASTHEAD LIGHT	FM	20.0	55.0	AU05,AU18,AU02,AU01,E247,E204,E203,E202,E201	ER <-> ACC	2026-01-24				
L	L0113	DAE1	13.1	W/H GROUP PANEL(NLP)	ANP	5.0	FWD ANCHOR LIGHT	FM	20.0	55.0	AU05,AU18,AU02,AU01,E247,E204,E203,E202,E201	ER <-> ACC	2026-01-24	2026-04-27	2026-04-27		
L	L0114	DAE1	13.1	W/H GROUP PANEL(NLP)	ANP	5.0	FWD ANCHOR LIGHT	FM	20.0	55.0	AU05,AU18,AU02,AU01,E247,E204,E203,E202,E201	ER <-> ACC	2026-01-24	2026-04-27	2026-04-27		
L	L2403	D2	12.8	F50(E)	ANC	10.0	F25(E)	ANS	10.0	20.0	local	ACC	2026-02-03	2026-04-27	2026-04-27		
L	L0722	DE1	13.0	B13(BULKHEAD LIGHT)	ANC	5.0	B13(BULKHEAD LIGHT)	ANC	5.0	10.0	local	ACC	2026-04-16	2026-04-27			
L	L0723	DE1	13.0	B13(BULKHEAD LIGHT)	ANC	5.0	B13(BULKHEAD LIGHT)	ANC	5.0	10.0	local	ACC	2026-04-16	2026-04-27	2026-04-27		
L	L0724	DE1	13.0	B13(BULKHEAD LIGHT)	ANC	5.0	B13(BULKHEAD LIGHT)	KP	5.0	10.0	local	ACC	2026-04-16				
L	L0726	DE1	13.0	B13(BULKHEAD LIGHT)	ANC	5.0	B13(BULKHEAD LIGHT)	EC	5.0	10.0	local	ACC	2026-04-16				
L	L2303	DA2	14.0	S/W	ANC	10.0	EX CEILING LIGHT	ANC	10.0	20.0	local	ACC	2026-04-17				
L	L2304	DA2	14.0	EX CEILING LIGHT	ANC	10.0	EX CEILING LIGHT	ANC	10.0	20.0	local	ACC	2026-04-17				
L	L0731	DE1	13.0	B13(BULKHEAD LIGHT)	ANC	2.0	B13(BULKHEAD LIGHT)	ANC	2.0	4.0	local	ACC					
L	L0211A	DE1	13.0	W/H GROUP PANEL(NLP)	ANP	5.0	KP(TOWING LIGHT)	RM	10.0	15.0	local	ACC	2026-01-24				
L	L0802	DE1	13.0	F50	ANP	5.0	S/W	ANP	5.0	10.0	local	ACC	2026-02-03				
L	L0806	DE1	13.0	F50(E)	ANP	5.0	F50	ANS	5.0	10.0	local	ACC	2026-02-03				
L	L0833	DE1	13.0	F50	ANP	5.0	F50(E)	ANP	5.0	10.0	local	ACC	2026-02-03				
L	L0834	DE1	13.0	F50	ANP	5.0	UT-J/B	ANP	5.0	10.0	local	ACC	2026-02-03				
L	L0835	DE1	13.0	F50	ANP	5.0	F50	ANP	5.0	10.0	local	ACC	2026-02-03				
